SurveySectionTitle,Namespace,SurveyIdentifier,QuestionCode,QuestionText,QuestionFormDescriptor
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 44,"To what extent did your Field Supervisor hold an interactive conference with you after each observation? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 45,"To what extent did your Field Supervisor help you solve problems, make specific recommendations for improvement or act as your advocate? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 46,"Did you ever communicate with your Field Supervisor by email, text, or telephone call? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 47,"To what extent did your Field Supervisor respond to your communications, for example email, text, or telephone call, within two school/business days? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 48,"To what extent did your Field Supervisor offer you opportunities to reflect on your performance in the classroom? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 49,"To what extent did your Field Supervisor provide multiple means for you to communicate with him/her, such as email, telephone, texting, videoconferencing, or face-to-face interaction? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 5,"To what extent were you prepared to communicate clear expectations for achievement and behavior that promote and encourage self-discipline and self-directed learning? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 50,"To what extent did your Field supervisor ask you for ways he/she can support you? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 51,"The Field Supervisor FORMALLY observed me teaching a minimum of three times. ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 52,"The Field Supervisor observed me teaching for a minimum of 45 minutes during at least three of my FORMAL observations. ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 53,"What is your overall evaluation of how well the educator preparation program prepared you? Select the one statement that most closely matches your current overall perspective on the program. ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 6,"To what extent were you prepared to provide support to achieve a positive, equitable, and engaging learning environment? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 7,"To what extent were you prepared to build and maintain positive rapport with students? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 8,"To what extent were you prepared to build and maintain positive rapport and two-way communication with students' families? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
TEA_Exit-Survey_17-18,uri://tpdm.ed-fi.org,59998418-E21A-42C2-A791-B5B35D48E4FE,answer 9,"To what extent were you prepared to implement varied instruction that integrates critical thinking, inquiry, and problem solving? ",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS10,"8. If you would like to provide any specific comments about the quality of your teacher preparation, please feel free to include your comments in the space provided below.",uri://ed-fi.org/QuestionFormDescriptor#Textbox
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS11_1,9. How valuable are the following aspects of your teacher preparation program? - Coursework,uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS11_2,9. How valuable are the following aspects of your teacher preparation program? - Instructors of your classes,uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS11_3,"9. How valuable are the following aspects of your teacher preparation program? - Early fieldwork/clinical experiences not including supervised student teaching (e.g., working one-on-one with a student, volunteering in a classroom, work related to a specif",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS11_4,"9. How valuable are the following aspects of your teacher preparation program? - Student teaching experiences (e.g., semester or year-long supervised teaching internship and/or co-teaching)",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS12,"10. If you would like to provide any specific comments about these aspects of your teacher preparation program, please feel free to include your comments in the space provided below.",uri://ed-fi.org/QuestionFormDescriptor#Textbox
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_1,"11.  Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - More ex",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_10,"11. Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - Other (p",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_10_TEXT,"11. Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - Other (p",uri://ed-fi.org/QuestionFormDescriptor#Textbox
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_2,"11. Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - More coa",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_3,"11. Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - More opp",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_4,"11. Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - More opp",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_5,"11. Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - More opp",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_6,"11. Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - More opp",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_7,"11. Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - More opp",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_8,"11. Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - More opp",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS13_9,"11. Please rank the top THREE items that would most improve the quality of yourteacher preparation with ""1"" representing the most important item, ""2""representing the second most important item, and ""3"" representing the third mostimportant item. - More gui",uri://tpdm.ed-fi.org/QuestionFormDescriptor#Other
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_1,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Study stages of child development and learning",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_10,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Plan units and lessons",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_11,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Create formative and summative student assessments",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_12,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Analyze student assessment data and work to adjust instruction",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_13,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Provide meaningful and specific academic feedback to students",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_14,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Develop instructional strategies to promote students critical thinking skills",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_2,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Develop strategies for managing student behavior",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_3,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Develop strategies for establishing classroom procedures",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_4,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Develop strategies for teaching English Language Learners",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_5,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Develop strategies for teaching students from diverse racial, ethnic, cultural, and socioeconomic backgrounds",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_6,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Develop strategies for teaching students with special needs",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_7,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Develop strategies for teaching students who are academically gifted",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_8,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Develop strategies for teaching students of varying ability",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS14_9,"12. In your teacher preparation program, how muchopportunity do you have to do the following? - Apply state standards to instruction",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS15_1,13. I feel confident in my ability to: - Set challenging and appropriate goals for student learning and performance,uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS15_10,13. I feel confident in my ability to: - Use technology in the classroom to improve learning outcomes,uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
BTS_1718_SP_F1,uri://tpdm.ed-fi.org,E7B6ED8B-C0D5-47EC-BAC1-E2AAA0391ECD,BTS15_11,"13. I feel confident in my ability to: - Use a variety of assessments (e.g., tests, observations, portfolios, performance tasks) to monitor student learning",uri://ed-fi.org/QuestionFormDescriptor#Matrix of textboxes
