AidTypeDescriptor,BeginDate,StudentUniqueId,EndDate,AidConditionDescription,AidAmount,PellGrantRecipient
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-10-06,1000002324,2017-12-14,MERIT BASED,210.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-10-06,1000003506,2018-05-10,MERIT BASED,1012.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2017-10-06,1000004808,2018-05-10,MERIT BASED,1020.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-02-01,1000005890,2018-05-10,MERIT BASED,1286.0700,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-02-07,1000003022,2018-05-10,MERIT BASED,20.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-02-07,1000001870,2018-05-10,MERIT BASED,12.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-02-07,1000005887,2018-05-10,MERIT BASED,643.7600,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-02-07,1000001197,2018-05-10,MERIT BASED,25.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-02-08,1000005759,2018-05-10,MERIT BASED,443.7600,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-06-01,1000003165,2018-07-10,MERIT BASED,733.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-12,1000003023,2018-07-10,MERIT BASED,711.8800,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-12,1000006567,2018-07-10,MERIT BASED,416.8800,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-12,1000000791,2018-07-10,MERIT BASED,142.7000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-12,1000003214,2018-07-10,MERIT BASED,795.4000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-12,1000002460,2018-07-10,MERIT BASED,776.8000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-12,1000001127,2018-07-10,MERIT BASED,224.4000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-12,1000002323,2018-07-10,MERIT BASED,416.8800,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-13,1000000838,2018-07-10,MERIT BASED,715.6100,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-13,1000004504,2018-07-10,MERIT BASED,272.6900,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-13,1000005717,2018-07-10,MERIT BASED,1296.8800,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-07-13,1000003632,2018-07-10,MERIT BASED,585.4200,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Scholarships,2018-08-15,1000001407,2018-08-17,MERIT BASED,750.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2016-11-18,1000004190,2018-05-10,NEED BASED,542.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2016-11-18,1000003504,2018-05-10,NEED BASED,3464.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-04,1000002735,2018-05-10,NEED BASED,3627.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-04,1000002140,2018-05-10,NEED BASED,4426.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-04,1000001101,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-18,1000001117,2018-05-10,NEED BASED,2178.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002400,2017-12-14,NEED BASED,2040.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004818,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002416,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004826,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000039,2017-12-14,NEED BASED,1979.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000064,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001252,2017-12-14,NEED BASED,2722.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001258,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000060,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002433,2018-05-10,NEED BASED,1188.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006038,2018-05-10,NEED BASED,577.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004868,2018-05-10,NEED BASED,1484.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003728,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001302,2018-05-10,NEED BASED,2097.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004885,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000212,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002518,2018-05-10,NEED BASED,3464.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000220,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004918,2018-05-10,NEED BASED,2554.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006067,2018-05-10,NEED BASED,1909.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003761,2017-12-14,NEED BASED,2243.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000133,2018-05-10,NEED BASED,3592.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000136,2018-05-10,NEED BASED,3752.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000269,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002539,2018-05-10,NEED BASED,2772.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004927,2018-05-10,NEED BASED,2722.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000155,2018-05-10,NEED BASED,3033.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004956,2018-05-10,NEED BASED,4452.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003783,2018-05-10,NEED BASED,2970.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004961,2018-05-10,NEED BASED,4452.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006092,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001384,2017-12-14,NEED BASED,2721.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000384,2017-12-14,NEED BASED,2721.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000385,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000401,2018-05-10,NEED BASED,4823.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002593,2018-05-10,NEED BASED,4766.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002597,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003815,2017-12-14,NEED BASED,2721.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000460,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000217,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000484,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003841,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000230,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002615,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000248,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002618,2018-05-10,NEED BASED,1745.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006151,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000535,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000270,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000545,2018-05-10,NEED BASED,4452.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006190,2017-12-14,NEED BASED,2721.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002652,2018-05-10,NEED BASED,2968.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000555,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002660,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000290,2017-12-14,NEED BASED,2721.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002674,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000291,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003900,2017-12-14,NEED BASED,2721.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000628,2018-05-10,NEED BASED,1309.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000629,2017-12-14,NEED BASED,2721.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001522,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006219,2018-05-10,NEED BASED,4452.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000312,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003927,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000005060,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000717,2017-12-14,NEED BASED,1979.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000720,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003932,2018-05-10,NEED BASED,4454.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000005065,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000005077,2018-05-10,NEED BASED,1855.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000768,2018-05-10,NEED BASED,3468.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000347,2017-12-14,NEED BASED,2721.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002751,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001590,2018-05-10,NEED BASED,2739.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000796,2018-05-10,NEED BASED,134.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003949,2018-05-10,NEED BASED,4947.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000373,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003958,2017-12-14,NEED BASED,1635.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000005120,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000005127,2017-12-14,NEED BASED,1437.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001620,2017-12-14,NEED BASED,594.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000005154,2018-05-10,NEED BASED,2005.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006288,2017-12-14,NEED BASED,2721.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000844,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000005155,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006300,2017-12-14,NEED BASED,1484.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002812,2017-12-14,NEED BASED,2593.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000882,2018-05-10,NEED BASED,2226.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003985,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003994,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002843,2017-12-14,NEED BASED,1640.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006332,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003999,2018-05-10,NEED BASED,5442.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004004,2018-05-10,NEED BASED,2785.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000986,2018-05-10,NEED BASED,3160.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002873,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000005211,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004026,2018-05-10,NEED BASED,920.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002883,2018-05-10,NEED BASED,2414.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001020,2018-05-10,NEED BASED,2955.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000450,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004034,2018-05-10,NEED BASED,5442.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001041,2018-05-10,NEED BASED,3795.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001049,2018-05-10,NEED BASED,2474.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001072,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002907,2018-05-10,NEED BASED,3894.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001104,2018-05-10,NEED BASED,2474.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000478,2017-12-14,NEED BASED,2721.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001134,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006438,2018-05-10,NEED BASED,3438.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001148,2018-05-10,NEED BASED,3166.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001192,2018-05-10,NEED BASED,4782.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002952,2018-05-10,NEED BASED,5442.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000546,2018-05-10,NEED BASED,3616.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004126,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006513,2018-05-10,NEED BASED,2411.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000588,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000002987,2018-05-10,NEED BASED,3464.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004168,2017-12-14,NEED BASED,495.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001266,2017-12-14,NEED BASED,1486.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000005352,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003007,2018-05-10,NEED BASED,3592.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001808,2018-05-10,NEED BASED,3551.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000006556,2017-12-14,NEED BASED,1952.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001330,2018-05-10,NEED BASED,3204.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001339,2018-05-10,NEED BASED,3592.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003044,2018-05-10,NEED BASED,238.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000005420,2018-05-10,NEED BASED,4454.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000638,2018-05-10,NEED BASED,3661.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001866,2018-05-10,NEED BASED,1475.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001371,2018-05-10,NEED BASED,3710.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000003050,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000004251,2018-05-10,NEED BASED,5442.0000,TRUE
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000001891,2018-05-10,NEED BASED,2346.0000,
uri://tpdm.ed-fi.org/AidTypeDescriptor#Federal Subsidized Loans,2017-02-23,1000000671,2018-05-10,NEED BASED,3464.0000,TRUE
