BeginDate,CandidateIdentifier,EducationOrganizationId,ProgramName,SchoolYear,ProgramTypeDescriptor,ReasonExitedDescriptor,CohortYearTypeDescriptor,TermDescriptor,MajorSpecialization
2016-06-06,1000004162,1,High School 7 - 12+English,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2017-01-17,1000003783,4,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2018-08-27,1000003909,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2019-08-26,1000000262,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2020-01-20,2000006294,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2019-06-03,1000004723,1,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,,,,
2019-08-26,1000006741,1,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2018-08-27,1000005392,1,All Level EC-12+Art,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2017-01-17,1000003940,1,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,,,,
2017-01-17,1000000320,1,High School 7 - 12+Chemistry,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,,,,
2016-01-19,1000005240,1,High School 7 - 12+Chemistry,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,,,,
2017-01-17,1000000545,1,Middle School 4 - 8+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,,,,
2017-01-17,1000004287,1,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,,,,
2017-06-05,1000004973,4,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,,,,
2017-06-05,1000006787,1,High School 7 - 12+Biology,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000006325,1,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,,,,
2016-06-06,1000000129,4,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,,,,
2019-01-14,1000005677,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,,,,
2017-01-17,1000005549,1,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000005406,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000006250,1,High School 7 - 12+Chemistry,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000005257,1,Middle School 4 - 8+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000001400,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2015-08-31,1000006626,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2015-08-31,1000001027,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000002945,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000006515,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000002608,1,Middle School 4 - 8+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2015-08-31,1000001794,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000006317,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000003889,1,Middle School 4 - 8+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000004061,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000003817,4,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000003124,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000002722,1,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000001106,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000000601,1,Middle School 4 - 8+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2018-01-16,2000001572,4,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2020-01-20,1000002584,1,Middle School 4 - 8+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2019-08-26,1000005617,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2019-01-14,1000001236,4,Elementary EC-6+E.S.L.,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2019-06-03,1000000710,1,High School 7 - 12+English,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000002397,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000003974,1,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000001122,1,All Level EC-12+Art,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000001552,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000000646,1,Middle School 4 - 8+English,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2017-01-17,1000001094,1,All Level EC-12+Spanish,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,2000001963,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000002499,4,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000002656,1,High School 7 - 12+Chemistry,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000001212,1,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000000636,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000006310,1,High School 7 - 12+English,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000006066,4,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000004202,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000004222,1,Middle School 4 - 8+English,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000006141,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000006061,4,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#UTeach,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000005150,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000004436,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000004828,4,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000005259,4,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000001501,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000001534,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000005434,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000001735,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000001778,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000002517,4,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000001934,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000001843,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000002873,1,All Level EC-12+Art,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000003709,4,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000002966,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000000764,1,All Level EC-12+Art,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000000796,1,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000000678,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000001009,1,All Level EC-12+Spanish,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000001252,4,High School 7 - 12+History,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000001267,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-08-29,1000001333,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000003805,4,High School 7 - 12+English,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000002790,1,High School 7 - 12+Mass Communication,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000002824,1,High School 7 - 12+Life Science,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000006847,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000005891,1,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000001119,1,Middle School 4 - 8+English,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000001743,1,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000002430,4,All Level EC-12+Art,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-06-06,1000001643,1,High School 7 - 12+Mathematics,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000006923,4,All Level EC-12+Physical Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,2000000332,1,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000006570,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000002665,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000002681,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000001304,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000005242,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000005352,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000006068,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000006202,1,Elementary EC-6+Early Childhood,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000004290,4,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2016-01-19,1000005190,1,All Level EC-12+Music,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2015-08-31,1000006507,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2015-08-31,2000001705,1,Elementary EC-6+Bilingual,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
2015-08-31,1000005214,1,Elementary EC-6+Special Education,,uri://tpdm.ed-fi.org/ProgramTypeDescriptor#Traditional,uri://tpdm.ed-fi.org/ReasonExitedDescriptor#Completed,,,
